Participant_ID,Block Number,Session Number,Trial Number,Stay_Probability(Colour),Stay_Probability(Texture),Stay_Probability(Shape),Slow_stim,Medium_stim,Fast_stim,Colour_stim,Texture_stim,Shape_stim,Choice Trial Index,Colour_distractor,Texture_distractor,Shape_distractor,Slow_distractor,Medium_distractor,Fast_distractor,Distractor_consistent_colour,Distractor_consistent_texture,Distractor_consistent_shape,Distractor_consistent_slow,Distractor_consistent_medium,Distractor_consistent_fast,Distractor_shares_colour,Distractor_shares_texture,Distractor_shares_shape,Distractor_shares_slow,Distractor_shares_medium,Distractor_shares_fast
48,1,2,1,0.5,0.3,0.1,1,6,4,1,6,4,,,,,,,,,,,,,,,,,,,
48,1,2,2,0.5,0.3,0.1,1,6,3,1,6,3,,,,,,,,,,,,,,,,,,,
48,1,2,3,0.5,0.3,0.1,1,5,4,1,5,4,,,,,,,,,,,,,,,,,,,
48,1,2,4,0.5,0.3,0.1,1,4,5,1,4,5,,,,,,,,,,,,,,,,,,,
48,1,2,5,0.5,0.3,0.1,6,6,0,6,6,0,,,,,,,,,,,,,,,,,,,
48,1,2,6,0.5,0.3,0.1,1,1,6,1,1,6,,,,,,,,,,,,,,,,,,,
48,1,2,7,0.5,0.3,0.1,1,2,3,1,2,3,,,,,,,,,,,,,,,,,,,
48,1,2,8,0.5,0.3,0.1,2,1,2,2,1,2,,,,,,,,,,,,,,,,,,,
48,1,2,9,0.5,0.3,0.1,6,2,3,6,2,3,,,,,,,,,,,,,,,,,,,
48,1,2,10,0.5,0.3,0.1,6,6,4,6,6,4,,,,,,,,,,,,,,,,,,,
48,1,2,11,0.5,0.3,0.1,6,6,3,6,6,3,1,0,2,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0
48,1,2,12,0.5,0.3,0.1,4,5,2,4,5,2,,,,,,,,,,,,,,,,,,,
48,1,2,13,0.5,0.3,0.1,5,4,1,5,4,1,,,,,,,,,,,,,,,,,,,
48,1,2,14,0.5,0.3,0.1,6,4,2,6,4,2,,,,,,,,,,,,,,,,,,,
48,1,2,15,0.5,0.3,0.1,6,4,1,6,4,1,,,,,,,,,,,,,,,,,,,
48,1,2,16,0.5,0.3,0.1,6,4,6,6,4,6,,,,,,,,,,,,,,,,,,,
48,1,2,17,0.5,0.3,0.1,6,5,0,6,5,0,,,,,,,,,,,,,,,,,,,
48,1,2,18,0.5,0.3,0.1,2,5,1,2,5,1,,,,,,,,,,,,,,,,,,,
48,1,2,19,0.5,0.3,0.1,2,4,6,2,4,6,,,,,,,,,,,,,,,,,,,
48,1,2,20,0.5,0.3,0.1,3,6,3,3,6,3,,,,,,,,,,,,,,,,,,,
48,1,2,21,0.5,0.3,0.1,3,4,4,3,4,4,,,,,,,,,,,,,,,,,,,
48,1,2,22,0.5,0.3,0.1,3,6,6,3,6,6,,,,,,,,,,,,,,,,,,,
48,1,2,23,0.5,0.3,0.1,3,6,4,3,6,4,,,,,,,,,,,,,,,,,,,
48,1,2,24,0.5,0.3,0.1,3,5,6,3,5,6,,,,,,,,,,,,,,,,,,,
48,1,2,25,0.5,0.3,0.1,3,4,5,3,4,5,2,4,2,0,4,2,0,1,0,1,1,0,1,0,0,0,0,0,0
48,1,2,26,0.5,0.3,0.1,3,4,6,3,4,6,,,,,,,,,,,,,,,,,,,
48,1,2,27,0.5,0.3,0.1,3,4,5,3,4,5,,,,,,,,,,,,,,,,,,,
48,1,2,28,0.5,0.3,0.1,3,5,0,3,5,0,,,,,,,,,,,,,,,,,,,
48,1,2,29,0.5,0.3,0.1,6,6,5,6,6,5,,,,,,,,,,,,,,,,,,,
48,1,2,30,0.5,0.3,0.1,6,0,0,6,0,0,,,,,,,,,,,,,,,,,,,
48,1,2,31,0.5,0.3,0.1,4,0,0,4,0,0,,,,,,,,,,,,,,,,,,,
48,1,2,32,0.5,0.3,0.1,4,0,6,4,0,6,,,,,,,,,,,,,,,,,,,
48,1,2,33,0.5,0.3,0.1,6,6,4,6,6,4,,,,,,,,,,,,,,,,,,,
48,1,2,34,0.5,0.3,0.1,2,4,4,2,4,4,3,0,6,5,0,6,5,0,1,1,0,1,1,0,0,0,0,0,0
48,1,2,35,0.5,0.3,0.1,6,3,6,6,3,6,,,,,,,,,,,,,,,,,,,
48,1,2,36,0.5,0.3,0.1,6,6,2,6,6,2,,,,,,,,,,,,,,,,,,,
48,1,2,37,0.5,0.3,0.1,2,6,2,2,6,2,,,,,,,,,,,,,,,,,,,
48,1,2,38,0.5,0.3,0.1,2,5,1,2,5,1,,,,,,,,,,,,,,,,,,,
48,1,2,39,0.5,0.3,0.1,6,6,2,6,6,2,,,,,,,,,,,,,,,,,,,
48,1,2,40,0.5,0.3,0.1,2,4,3,2,4,3,,,,,,,,,,,,,,,,,,,
48,1,2,41,0.5,0.3,0.1,2,5,4,2,5,4,,,,,,,,,,,,,,,,,,,
48,1,2,42,0.5,0.3,0.1,3,0,4,3,0,4,,,,,,,,,,,,,,,,,,,
48,1,2,43,0.5,0.3,0.1,3,6,6,3,6,6,,,,,,,,,,,,,,,,,,,
48,1,2,44,0.5,0.3,0.1,6,2,6,6,2,6,4,3,4,1,3,4,1,1,0,1,1,0,1,0,0,0,0,0,0
48,1,2,45,0.5,0.3,0.1,6,6,3,6,6,3,,,,,,,,,,,,,,,,,,,
48,1,2,46,0.5,0.3,0.1,6,6,2,6,6,2,,,,,,,,,,,,,,,,,,,
48,1,2,47,0.5,0.3,0.1,6,3,1,6,3,1,,,,,,,,,,,,,,,,,,,
48,1,2,48,0.5,0.3,0.1,4,3,2,4,3,2,,,,,,,,,,,,,,,,,,,
48,1,2,49,0.5,0.3,0.1,6,6,3,6,6,3,,,,,,,,,,,,,,,,,,,
48,1,2,50,0.5,0.3,0.1,1,6,4,1,6,4,,,,,,,,,,,,,,,,,,,
48,1,2,51,0.5,0.3,0.1,6,6,3,6,6,3,,,,,,,,,,,,,,,,,,,
48,1,2,52,0.5,0.3,0.1,4,0,6,4,0,6,,,,,,,,,,,,,,,,,,,
48,1,2,53,0.5,0.3,0.1,4,5,6,4,5,6,5,1,6,6,1,6,6,0,1,1,0,1,1,0,0,1,0,0,1
48,1,2,54,0.5,0.3,0.1,4,6,2,4,6,2,,,,,,,,,,,,,,,,,,,
48,1,2,55,0.5,0.3,0.1,4,5,3,4,5,3,,,,,,,,,,,,,,,,,,,
48,1,2,56,0.5,0.3,0.1,5,6,3,5,6,3,,,,,,,,,,,,,,,,,,,
48,1,2,57,0.5,0.3,0.1,4,6,3,4,6,3,,,,,,,,,,,,,,,,,,,
48,1,2,58,0.5,0.3,0.1,4,6,4,4,6,4,,,,,,,,,,,,,,,,,,,
48,1,2,59,0.5,0.3,0.1,5,1,6,5,1,6,,,,,,,,,,,,,,,,,,,
48,1,2,60,0.5,0.3,0.1,5,6,1,5,6,1,,,,,,,,,,,,,,,,,,,
48,1,2,61,0.5,0.3,0.1,5,2,6,5,2,6,,,,,,,,,,,,,,,,,,,
48,1,2,62,0.5,0.3,0.1,5,6,3,5,6,3,,,,,,,,,,,,,,,,,,,
48,1,2,63,0.5,0.3,0.1,6,3,2,6,3,2,,,,,,,,,,,,,,,,,,,
48,1,2,64,0.5,0.3,0.1,6,4,1,6,4,1,,,,,,,,,,,,,,,,,,,
48,1,2,65,0.5,0.3,0.1,6,4,6,6,4,6,,,,,,,,,,,,,,,,,,,
48,1,2,66,0.5,0.3,0.1,6,5,0,6,5,0,6,6,3,3,6,3,3,1,0,0,1,0,0,1,0,0,1,0,0
48,1,2,67,0.5,0.3,0.1,3,0,6,3,0,6,,,,,,,,,,,,,,,,,,,
48,1,2,68,0.5,0.3,0.1,6,5,5,6,5,5,,,,,,,,,,,,,,,,,,,
48,1,2,69,0.5,0.3,0.1,6,5,6,6,5,6,,,,,,,,,,,,,,,,,,,
48,1,2,70,0.5,0.3,0.1,4,4,2,4,4,2,,,,,,,,,,,,,,,,,,,
48,1,2,71,0.5,0.3,0.1,4,4,1,4,4,1,,,,,,,,,,,,,,,,,,,
48,1,2,72,0.5,0.3,0.1,5,4,6,5,4,6,7,0,4,1,0,4,1,1,1,1,1,1,1,0,1,0,0,1,0
48,1,2,73,0.5,0.3,0.1,5,6,3,5,6,3,,,,,,,,,,,,,,,,,,,
48,1,2,74,0.5,0.3,0.1,5,6,2,5,6,2,,,,,,,,,,,,,,,,,,,
48,1,2,75,0.5,0.3,0.1,6,4,1,6,4,1,,,,,,,,,,,,,,,,,,,
48,1,2,76,0.5,0.3,0.1,6,4,2,6,4,2,,,,,,,,,,,,,,,,,,,
48,1,2,77,0.5,0.3,0.1,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,
48,1,2,78,0.5,0.3,0.1,6,4,4,6,4,4,,,,,,,,,,,,,,,,,,,
48,1,2,79,0.5,0.3,0.1,6,5,5,6,5,5,,,,,,,,,,,,,,,,,,,
48,1,2,80,0.5,0.3,0.1,6,5,5,6,5,5,,,,,,,,,,,,,,,,,,,
48,1,2,81,0.5,0.3,0.1,1,5,0,1,5,0,,,,,,,,,,,,,,,,,,,
